dt,horizon,decision_date,cons_pred_mw,load_plan_mw,sw_rad_wm2,solar_pred_mw,residual_load_mw,solar_status
2026-09-03 10:00:00,2,2026-09-01,51912.73937083909,51466.0,516.7658536585366,11757.407609682927,40155.331761156165,ok
2026-09-03 11:00:00,2,2026-09-01,52601.25046433848,52726.0,661.848780487805,15058.320578024393,37542.92988631409,ok
2026-09-03 12:00:00,2,2026-09-01,51309.659532188496,51756.0,771.8634146341465,17561.36308273171,33748.296449456786,ok
2026-09-03 13:00:00,2,2026-09-01,52460.176197239976,52795.0,830.1243902439026,18886.911265012193,33573.26493222779,ok
2026-09-03 14:00:00,2,2026-09-01,53430.228844533616,53607.0,836.9097560975612,19041.29126430488,34388.93758022874,ok
2026-09-03 15:00:00,2,2026-09-01,52329.39456702634,53149.0,772.5780487804878,17577.622370939025,34751.77219608732,ok
2026-09-03 16:00:00,2,2026-09-01,51981.91083341417,52428.0,650.5097560975611,14800.33617230488,37181.57466110929,ok
2026-09-03 17:00:00,2,2026-09-01,51211.14022652146,51780.0,484.7000000000001,11027.848353500001,40183.29187302146,ok
2026-09-03 18:00:00,2,2026-09-01,50733.733438266114,51023.0,295.1487804878049,6715.197014524391,44018.53642374172,ok
2026-09-03 19:00:00,2,2026-09-01,51611.826631444805,51105.0,111.04146341463417,2526.404826670732,49085.42180477407,ok
2026-09-03 20:00:00,2,2026-09-01,51498.94387865955,50721.0,7.2609756097561,165.20102728048784,51333.74285137906,ok
2026-09-03 21:00:00,2,2026-09-01,48832.91438186964,49216.0,0.0,0.0,48832.91438186964,ok
2026-09-03 22:00:00,2,2026-09-01,46712.178275401886,47397.0,0.0,0.0,46712.178275401886,ok
2026-09-03 23:00:00,2,2026-09-01,44756.75826394754,45104.0,0.0,0.0,44756.75826394754,ok
