ts,licensed_mw,model_mw
2026-08-12 12:00:00,2726.59,18529.55584276485
2026-08-12 13:00:00,2747.37,19609.82698052355
2026-08-12 14:00:00,2668.75,19475.74275313805
2026-08-12 15:00:00,2517.14,18021.076317360585
2026-08-12 16:00:00,2311.7599999999998,15683.656535284874
2026-08-12 17:00:00,1690.48,12708.71043005906
2026-08-12 18:00:00,573.94,9027.822415155624
2026-08-12 19:00:00,33.61,4798.380161952633
2026-08-12 20:00:00,89.24000000000001,1082.781333581048
2026-08-12 21:00:00,0.39999999999999997,0.0
2026-08-12 22:00:00,0.0,0.0
2026-08-12 23:00:00,0.0,0.0
2026-08-13 00:00:00,0.0,0.0
2026-08-13 01:00:00,0.36,0.0
2026-08-13 02:00:00,0.0,0.0
2026-08-13 03:00:00,0.0,0.0
2026-08-13 04:00:00,0.19,0.0
2026-08-13 05:00:00,8.52,0.0
2026-08-13 06:00:00,305.46,8.312358125763556
2026-08-13 07:00:00,1447.43,934.1581134254893
2026-08-13 08:00:00,2371.87,4483.152375050844
2026-08-13 09:00:00,2613.42,8674.644442932207
2026-08-13 10:00:00,2728.81,12479.165284417531
2026-08-13 11:00:00,2781.57,14896.622149690573
2026-08-13 12:00:00,2743.98,16999.047530091113
2026-08-13 13:00:00,2709.63,17482.667616043902
2026-08-13 14:00:00,2597.12,16771.81869493157
2026-08-13 15:00:00,2515.37,16047.479489067044
2026-08-13 16:00:00,2238.3,14801.813609295148
2026-08-13 17:00:00,1387.3799999999999,12110.036259029876
2026-08-13 18:00:00,470.38,8100.255485168034
2026-08-13 19:00:00,31.310000000000002,3990.036172912737
2026-08-13 20:00:00,107.5,957.6831562010527
2026-08-13 21:00:00,1.04,0.0
2026-08-13 22:00:00,0.0,0.0
2026-08-13 23:00:00,0.0,0.0
2026-08-14 00:00:00,0.0,0.0
2026-08-14 01:00:00,0.0,0.0
2026-08-14 02:00:00,0.0,0.0
2026-08-14 03:00:00,0.0,0.0
2026-08-14 04:00:00,0.14,0.0
2026-08-14 05:00:00,7.02,0.0
2026-08-14 06:00:00,240.9,7.039962955284517
2026-08-14 07:00:00,1092.6,880.899760952479
2026-08-14 08:00:00,1781.46,4287.195471070655
2026-08-14 09:00:00,2468.41,8668.067239607535
2026-08-14 10:00:00,2646.86,12232.187284426402
2026-08-14 11:00:00,2796.11,15595.038367266654
2026-08-14 12:00:00,2736.48,17850.485416131174
2026-08-14 13:00:00,2635.1,18819.789404219504
2026-08-14 14:00:00,2639.53,18573.194051892584
2026-08-14 15:00:00,2358.2,16781.643686965293
2026-08-14 16:00:00,1745.1499999999999,15057.752587747093
2026-08-14 17:00:00,1323.4,11509.86995472976
2026-08-14 18:00:00,471.76,8416.116948204814
2026-08-14 19:00:00,36.36,4235.753808591355
2026-08-14 20:00:00,108.38,891.9200404929242
2026-08-14 21:00:00,1.34,0.0
2026-08-14 22:00:00,0.0,0.0
2026-08-14 23:00:00,0.0,0.0
2026-08-15 00:00:00,0.0,0.0
2026-08-15 01:00:00,0.0,0.0
2026-08-15 02:00:00,0.0,0.0
2026-08-15 03:00:00,0.0,0.0
2026-08-15 04:00:00,0.32,0.0
2026-08-15 05:00:00,8.68,0.0
2026-08-15 06:00:00,267.98,6.640053969701712
2026-08-15 07:00:00,1309.22,862.5818990238224
2026-08-15 08:00:00,2226.93,4409.979931177479
2026-08-15 09:00:00,2528.69,8627.53822244341
2026-08-15 10:00:00,2510.24,12277.590937948948
2026-08-15 11:00:00,2552.89,15360.422118903334
2026-08-15 12:00:00,2479.85,17569.509717546105
2026-08-15 13:00:00,2467.4900000000002,19134.958351546167
2026-08-15 14:00:00,2330.56,18913.748433996472
2026-08-15 15:00:00,2252.78,17631.803425618895
2026-08-15 16:00:00,2070.14,15627.998879242217
2026-08-15 17:00:00,1545.0800000000002,12577.967444254282
2026-08-15 18:00:00,538.36,8865.105498733492
2026-08-15 19:00:00,24.669999999999998,4504.215289138185
2026-08-15 20:00:00,40.31,890.5347480159649
2026-08-15 21:00:00,25.12,0.0
2026-08-15 22:00:00,4.9,0.0
2026-08-15 23:00:00,19.46,0.0
2026-08-16 00:00:00,0.0,0.0
2026-08-16 01:00:00,0.0,0.0
2026-08-16 02:00:00,0.0,0.0
2026-08-16 03:00:00,0.0,0.0
2026-08-16 04:00:00,0.19,0.0
2026-08-16 05:00:00,12.72,0.0
2026-08-16 06:00:00,267.29,5.333412640953036
2026-08-16 07:00:00,1288.96,795.3225525493928
2026-08-16 08:00:00,2218.5699999999997,4120.296785067171
2026-08-16 09:00:00,2404.41,8161.634471544063
2026-08-16 10:00:00,2479.63,12142.647469349096
2026-08-16 11:00:00,2494.51,14962.24218886854
2026-08-16 12:00:00,2454.58,17434.072274947262
2026-08-16 13:00:00,2506.77,18267.802030097057
2026-08-16 14:00:00,2491.83,18220.71151421882
2026-08-16 15:00:00,2240.36,16742.35283028344
2026-08-16 16:00:00,2102.56,13964.014538357345
2026-08-16 17:00:00,1449.3700000000001,10980.586893277874
2026-08-16 18:00:00,479.83,7248.920738880589
2026-08-16 19:00:00,21.66,3763.33567662892
2026-08-16 20:00:00,76.25,770.497016868463
2026-08-16 21:00:00,0.02,0.0
2026-08-16 22:00:00,0.0,0.0
2026-08-16 23:00:00,0.0,0.0
2026-08-17 00:00:00,0.0,0.0
2026-08-17 01:00:00,0.0,0.0
2026-08-17 02:00:00,0.0,0.0
2026-08-17 03:00:00,0.09,0.0
2026-08-17 04:00:00,0.47,0.0
2026-08-17 05:00:00,10.69,0.0
2026-08-17 06:00:00,290.2,5.270966214928363
2026-08-17 07:00:00,1218.5,811.3356817353786
2026-08-17 08:00:00,2169.38,4232.20072188396
2026-08-17 09:00:00,2649.96,8596.327563647546
2026-08-17 10:00:00,2700.17,12601.792443683493
2026-08-17 11:00:00,2843.01,14971.181354636119
2026-08-17 12:00:00,2762.86,17457.72932994789
2026-08-17 13:00:00,2494.83,17814.863863165534
2026-08-17 14:00:00,2398.7,17592.252467735958
2026-08-17 15:00:00,2250.11,16961.408514484185
2026-08-17 16:00:00,1760.26,14774.890530878516
2026-08-17 17:00:00,715.46,11646.197664927377
2026-08-17 18:00:00,174.16,8008.742666535739
2026-08-17 19:00:00,8.73,4269.2564876361575
2026-08-17 20:00:00,125.30000000000001,838.0695426945883
2026-08-17 21:00:00,0.54,0.0
2026-08-17 22:00:00,0.0,0.0
2026-08-17 23:00:00,0.0,0.0
2026-08-18 00:00:00,0.0,0.0
2026-08-18 01:00:00,0.0,0.0
2026-08-18 02:00:00,0.0,0.0
2026-08-18 03:00:00,0.0,0.0
2026-08-18 04:00:00,0.45,0.0
2026-08-18 05:00:00,11.42,0.0
2026-08-18 06:00:00,281.74,3.970535188962722
2026-08-18 07:00:00,1396.05,777.0321472831075
2026-08-18 08:00:00,2368.54,4404.476407354532
2026-08-18 09:00:00,2679.61,8916.725356143339
2026-08-18 10:00:00,2818.86,13227.395590648808
2026-08-18 11:00:00,2827.16,16492.52363554596
2026-08-18 12:00:00,2714.57,18404.394162491968
2026-08-18 13:00:00,2709.8599999999997,19087.539699942397
2026-08-18 14:00:00,2670.22,18878.15422459248
2026-08-18 15:00:00,2537.9,17517.370769951354
2026-08-18 16:00:00,2333.47,15666.513591196357
2026-08-18 17:00:00,1533.17,12493.876802123325
2026-08-18 18:00:00,472.33,8670.543736827325
2026-08-18 19:00:00,17.830000000000002,4330.492690254359
2026-08-18 20:00:00,115.96000000000001,805.6435726979182
2026-08-18 21:00:00,1.21,0.0
2026-08-18 22:00:00,0.0,0.0
2026-08-18 23:00:00,0.0,0.0
2026-08-19 00:00:00,0.41,0.0
2026-08-19 01:00:00,0.0,0.0
2026-08-19 02:00:00,0.0,0.0
2026-08-19 03:00:00,0.46,0.0
2026-08-19 04:00:00,0.54,0.0
2026-08-19 05:00:00,10.299999999999999,0.0
2026-08-19 06:00:00,271.98,3.499357289323746
2026-08-19 07:00:00,1357.24,771.2674198878995
2026-08-19 08:00:00,2333.78,4369.402735612986
2026-08-19 09:00:00,2634.22,8879.113094180702
2026-08-19 10:00:00,2715.5299999999997,12963.85938928248
2026-08-19 11:00:00,2781.67,16038.98074835194
2026-08-19 12:00:00,2683.29,17992.913981894704
2026-08-19 13:00:00,2696.02,18966.145049887702
2026-08-19 14:00:00,2664.53,18696.199930713832
2026-08-19 15:00:00,2455.71,17265.588400055138
2026-08-19 16:00:00,2066.44,15449.84668790341
2026-08-19 17:00:00,1192.25,12271.72646035236
2026-08-19 18:00:00,435.86,8120.774193077032
2026-08-19 19:00:00,13.610000000000001,4147.7299018395415
2026-08-19 20:00:00,52.43,733.5809361885218
2026-08-19 21:00:00,14.229999999999999,0.0
2026-08-19 22:00:00,0.0,0.0
2026-08-19 23:00:00,0.0,0.0
2026-08-20 00:00:00,0.0,0.0
2026-08-20 01:00:00,0.0,0.0
2026-08-20 02:00:00,0.0,0.0
2026-08-20 03:00:00,0.0,0.0
2026-08-20 04:00:00,0.32,0.0
2026-08-20 05:00:00,9.27,0.0
2026-08-20 06:00:00,257.48,3.503065722768886
2026-08-20 07:00:00,1352.74,748.1240912745415
2026-08-20 08:00:00,2374.82,4342.183263414003
2026-08-20 09:00:00,2692.51,8861.160050095938
2026-08-20 10:00:00,2783.85,12912.971581933667
2026-08-20 11:00:00,2703.71,16096.498402739096
2026-08-20 12:00:00,2613.02,18267.344036130624
2026-08-20 13:00:00,2602.69,19309.361911719843
2026-08-20 14:00:00,2606.96,19177.831678803093
2026-08-20 15:00:00,2648.8,18076.553895842455
2026-08-20 16:00:00,2417.17,15913.085100496408
2026-08-20 17:00:00,1660.07,12622.729761738308
2026-08-20 18:00:00,483.96,8638.303450726498
2026-08-20 19:00:00,13.540000000000001,4220.249924804975
2026-08-20 20:00:00,82.52,718.3535641068992
2026-08-20 21:00:00,0.98,0.0
2026-08-20 22:00:00,3.02,0.0
2026-08-20 23:00:00,0.02,0.0
2026-08-21 00:00:00,0.02,0.0
2026-08-21 01:00:00,0.44,0.0
2026-08-21 02:00:00,0.04,0.0
2026-08-21 03:00:00,0.02,0.0
2026-08-21 04:00:00,0.31,0.0
2026-08-21 05:00:00,9.42,0.0
2026-08-21 06:00:00,285.25,3.0618642426054294
2026-08-21 07:00:00,1508.75,728.9175232456294
2026-08-21 08:00:00,2509.95,4334.886719791344
2026-08-21 09:00:00,2759.26,8879.904055686708
2026-08-21 10:00:00,2869.38,12707.664790833642
2026-08-21 11:00:00,2860.8900000000003,15903.647717263333
2026-08-21 12:00:00,2790.28,17917.939866497403
2026-08-21 13:00:00,2809.29,18895.812017143646
2026-08-21 14:00:00,2739.48,18979.909264299156
2026-08-21 15:00:00,2606.42,17856.7936454416
2026-08-21 16:00:00,2392.79,15621.45445539327
2026-08-21 17:00:00,1694.01,12422.86334473443
2026-08-21 18:00:00,443.78,8272.683160448934
2026-08-21 19:00:00,14.3,3990.490385072204
2026-08-21 20:00:00,106.63999999999999,640.7883921608465
2026-08-21 21:00:00,0.24,0.0
2026-08-21 22:00:00,0.0,0.0
2026-08-21 23:00:00,0.0,0.0
2026-08-22 00:00:00,0.0,0.0
2026-08-22 01:00:00,0.0,0.0
2026-08-22 02:00:00,0.0,0.0
2026-08-22 03:00:00,0.0,0.0
2026-08-22 04:00:00,0.29000000000000004,0.0
2026-08-22 05:00:00,10.63,0.0
2026-08-22 06:00:00,265.04,3.0535413188607063
2026-08-22 07:00:00,1450.03,617.9933805406508
2026-08-22 08:00:00,2473.11,3788.2424508145596
2026-08-22 09:00:00,2718.31,8453.794835972476
2026-08-22 10:00:00,2839.47,12459.693083344744
2026-08-22 11:00:00,2871.2,15738.47569047876
2026-08-22 12:00:00,2826.2400000000002,17884.910518434197
2026-08-22 13:00:00,2813.56,18906.071029086346
2026-08-22 14:00:00,2744.55,18605.330799982374
2026-08-22 15:00:00,2600.1600000000003,17078.00973256969
2026-08-22 16:00:00,2381.05,15407.321953065539
2026-08-22 17:00:00,1619.94,12214.05688950433
2026-08-22 18:00:00,449.94,8383.059850346022
2026-08-22 19:00:00,11.63,3944.984121470996
2026-08-22 20:00:00,106.05000000000001,609.5377168262911
2026-08-22 21:00:00,1.02,0.0
2026-08-22 22:00:00,0.0,0.0
2026-08-22 23:00:00,0.0,0.0
2026-08-23 00:00:00,0.0,0.0
2026-08-23 01:00:00,0.0,0.0
2026-08-23 02:00:00,0.0,0.0
2026-08-23 03:00:00,0.0,0.0
2026-08-23 04:00:00,0.25,0.0
2026-08-23 05:00:00,9.61,0.0
2026-08-23 06:00:00,222.48,2.624139545105832
2026-08-23 07:00:00,1308.94,626.6711369123747
2026-08-23 08:00:00,2329.62,3793.2695018087334
2026-08-23 09:00:00,2538.6400000000003,8093.591377770671
2026-08-23 10:00:00,2540.43,12738.546127898157
2026-08-23 11:00:00,2523.02,15985.319797358847
2026-08-23 12:00:00,2499.13,18116.339600984844
2026-08-23 13:00:00,2518.66,19075.345692765884
2026-08-23 14:00:00,2619.75,18757.657879601888
2026-08-23 15:00:00,2555.36,17060.987080285817
2026-08-23 16:00:00,2246.46,15425.754297443053
2026-08-23 17:00:00,1486.53,11906.947427383828
2026-08-23 18:00:00,400.09000000000003,8125.072965989091
2026-08-23 19:00:00,10.8,3879.6293320791806
2026-08-23 20:00:00,77.87,567.7331102984361
2026-08-23 21:00:00,0.03,0.0
2026-08-23 22:00:00,0.04,0.0
2026-08-23 23:00:00,0.02,0.0
